股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
603696,安记食品,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
603697,有友食品,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
603836,海程邦达,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
603938,三孚股份,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
605179,一鸣食品,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
605188,国光连锁,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
605218,伟时电子,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
688052,纳芯微,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688102,斯瑞新材,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688136,科兴制药,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688156,路德环境,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688269,凯立新材,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
688331,荣昌生物,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688383,新益昌,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
688536,思瑞浦,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688600,皖仪科技,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688602,康鹏科技,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
688799,华纳药厂,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
430047,诺思兰德,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
832145,恒合股份,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
833394,民士达,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
833429,康比特,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
836892,广咨国际,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
838163,方大新材,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
870199,倍益康,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
870656,海昇药业,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
872541,铁大科技,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
920819,颖泰生物,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
