symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
002811,郑中设计,2025-06-04,AdaptedMAPullbackStrategy,Daily,33.66亿,35.28,2.54,0.19,-0.40,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.40252933526258394).; PEG近似值计算失败：利润增长率无效或非正 (-0.40252933526258394).
002836,新宏泽,2025-06-04,AdaptedMAPullbackStrategy,Daily,21.36亿,34.17,5.50,0.49,0.51,0.67,是,是,否,是,,
002867,周大生,2025-06-04,ChanBreakoutStrategyV8,Daily,176.22亿,17.45,2.67,-0.47,-0.26,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.26099706744868034).; PEG近似值计算失败：利润增长率无效或非正 (-0.26099706744868034).
002909,集泰股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,24.53亿,127.24,2.61,0.07,0.46,2.77,否,是,否,否,,
002938,鹏鼎控股,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,673.54亿,18.61,2.06,0.21,-0.02,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.018108651911468814).; PEG近似值计算失败：利润增长率无效或非正 (-0.018108651911468814).
002956,西麦食品,2025-06-04,AdaptedMAPullbackStrategy,Daily,54.27亿,40.81,3.46,0.16,0.21,1.93,是,是,否,否,,
002961,瑞达期货,2025-06-04,ChanBreakoutStrategyV8,Daily,79.39亿,20.73,2.67,0.37,0.12,1.73,是,是,是,否,,
002963,豪尔赛,2025-06-04,AdaptedMAPullbackStrategy,Daily,17.85亿,,1.35,-0.60,-5.18,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.178185684705355).; PE计算失败：年度净利润无效或非正 (-179000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.178185684705355).; PE计算失败：年度净利润无效或非正 (-179000000.0).
002968,新大正,2025-06-04,ChanBreakoutStrategyV8,Daily,25.48亿,22.35,2.05,-0.14,-0.14,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.14161726490173787).; PEG近似值计算失败：利润增长率无效或非正 (-0.14161726490173787).
002969,嘉美包装,2025-06-04,ChanBreakoutStrategyV8,Daily,35.35亿,19.32,1.46,-0.17,-0.74,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.7379843410377761).; PEG近似值计算失败：利润增长率无效或非正 (-0.7379843410377761).
003009,中天火箭,2025-06-04,ChanBreakoutStrategyV8,Daily,67.30亿,343.97,4.18,-0.59,-3.25,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-3.252854182487483).; PEG近似值计算失败：利润增长率无效或非正 (-3.252854182487483).
003017,大洋生物,2025-06-04,AdaptedMAPullbackStrategy,Daily,20.66亿,32.42,1.91,0.28,0.73,0.44,是,是,否,是,,
003042,中农联合,2025-06-04,ChanBreakoutStrategyV8,Daily,25.26亿,,1.86,0.18,1.19,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-122000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-122000000.0).
300003,乐普医疗,2025-06-04,ChanBreakoutStrategyV8,Daily,265.35亿,107.43,1.70,-0.10,-0.21,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.21369294605809128).; PEG近似值计算失败：利润增长率无效或非正 (-0.21369294605809128).
300004,南风股份,2025-06-04,AdaptedMAPullbackStrategy,Daily,39.46亿,52.97,2.24,0.21,0.44,1.19,否,是,否,否,,
300022,吉峰科技,2025-06-04,AdaptedMAPullbackStrategy,Daily,40.58亿,,7.49,0.11,0.66,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-30812800.000000004).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-30812800.000000004).
300032,金龙机电,2025-06-04,AdaptedMAPullbackStrategy,Daily,40.64亿,,5.99,0.26,2.86,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-121000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-121000000.0).
300047,天源迪科,2025-06-04,AdaptedMAPullbackStrategy,Daily,94.45亿,407.06,2.88,0.43,0.45,8.98,是,是,否,否,,
300057,万顺新材,2025-06-04,RefactoredMultiLevelCrossStrategy,Daily,42.78亿,,0.82,0.14,0.62,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-192000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-192000000.0).
